code_departement,annee,type_local,pieces_cat,prix_m2_median,transactions
30,2021,Maison,T5+,2369.4660194174758,3555
30,2021,Maison,Tous,2467.5272727272727,10861
30,2021,Tous,Studio,3803.5327272727272,1894
30,2021,Tous,T2,2933.1428571428573,3255
30,2021,Tous,T3,2441.579220779221,4360
30,2021,Tous,T4,2410.2,5197
30,2021,Tous,T5+,2325.5,3897
30,2021,Tous,Tous,2506.7388946955843,18644
31,2021,Appartement,Studio,4250.0,2031
31,2021,Appartement,T2,2958.3333333333335,4721
31,2021,Appartement,T3,2750.0,4880
31,2021,Appartement,T4,2680.851063829787,2079
31,2021,Appartement,T5+,2728.804902962206,564
31,2021,Appartement,Tous,2948.7179487179487,14289
31,2021,Maison,Studio,2927.659574468085,215
31,2021,Maison,T2,2624.031007751938,559
31,2021,Maison,T3,2500.7608695652175,2141
31,2021,Maison,T4,2718.925561797753,5484
31,2021,Maison,T5+,2639.4409937888195,5858
31,2021,Maison,Tous,2659.574468085106,14267
31,2021,Tous,Studio,4168.333333333334,2246
31,2021,Tous,T2,2939.0025252525256,5280
31,2021,Tous,T3,2683.3939393939395,7021
31,2021,Tous,T4,2713.425925925926,7563
31,2021,Tous,T5+,2647.029411764706,6422
31,2021,Tous,Tous,2789.494906621392,28556
32,2021,Appartement,Studio,2500.0,159
32,2021,Appartement,T2,1712.2383252818036,288
32,2021,Appartement,T3,1588.8544891640868,244
32,2021,Appartement,T4,1471.4285714285713,93
32,2021,Appartement,T5+,1323.5294117647059,45
32,2021,Appartement,Tous,1687.5,829
32,2021,Maison,Studio,2334.4988344988346,86
32,2021,Maison,T2,1924.6323529411766,312
32,2021,Maison,T3,1548.3333333333335,838
